Property_ID,Neighborhood,Year_Built,Number_of_Bedrooms,Property_Size,Sold_Year,Number_of_Bathrooms,Property_Type,Price,Address
168,New Development,1920,4,1421,2016,4,Terraced,244730,173 Maple Drive
170,New Development,1937,4,1382,2011,4,Detached,239660,161 Magnolia Row
171,Old Town,1904,4,1506,2011,4,Flat,210600,73 Pillory Hill
172,City Centre,1984,4,1462,2020,4,Detached,279300,98 George Square
173,City Centre,1960,6,2685,2021,6,Flat,492750,143 Merchant Street
174,University,1907,6,2049,2014,5,Semi-detached,371860,24 Graduation Way
175,University,1985,3,1113,2013,2,Flat,151300,62 Scholar’s Walk
176,City Centre,1917,2,881,2016,2,Detached,162150,95 King Street
177,University,1903,4,1563,2012,4,Terraced,278820,11 Study Mews
178,City Centre,1903,1,609,2014,1,Bungalow,106350,71 Prince’s Gate
179,Old Town,1936,6,2182,2011,6,Semi-detached,308200,153 School House Lane
180,New Development,1914,1,633,2010,1,Bungalow,97290,179 Primrose Avenue
181,University,1937,1,758,2018,1,Detached,113540,150 Scholar’s Walk
182,City Centre,1926,1,706,2022,1,Semi-detached,120900,181 High Street
183,University,1984,3,1618,2013,3,Flat,271520,82 Seminar Terrace
184,University,1947,6,2132,2017,6,Detached,388480,176 Research Boulevard
185,University,1945,1,543,2022,1,Semi-detached,91020,28 Study Mews
186,Old Town,1945,4,1892,2021,4,Detached,249200,74 Manor Row
187,New Development,1947,5,2025,2016,4,Terraced,333250,90 Cedar Crescent
188,New Development,1958,1,733,2021,1,Bungalow,110290,148 Sycamore Way
189,City Centre,2017,3,1150,2017,3,Bungalow,217500,164 Clock Tower Road
190,New Development,2019,6,2187,2019,5,Bungalow,369310,8 Juniper Walk
191,University,1903,3,1328,2020,3,Flat,230920,57 Graduation Way
192,Old Town,1974,1,688,2016,1,Bungalow,83800,161 Old Forge Lane
193,University,1918,6,1680,2011,6,Terraced,325200,184 Campus Avenue
194,University,1956,5,2592,2012,5,Flat,437880,2 Union Street
195,New Development,1918,1,742,2010,1,Semi-detached,111460,197 Poppy Crescent
196,Old Town,1990,3,1363,2016,3,Detached,181300,161 School House Lane
197,Old Town,2003,2,1131,2012,2,Flat,143100,58 Market Cross Road
198,University,1941,4,1729,2015,4,Detached,302060,120 Library Lane
199,City Centre,1991,3,1198,2021,3,Flat,224700,131 Merchant Street
200,New Development,1904,6,2575,2022,6,Semi-detached,424750,130 Bluebell View
201,University,1947,1,743,2016,1,Detached,126450,94 Academic Crescent
202,University,1924,4,1472,2012,4,Terraced,266080,14 Academic Crescent
203,University,1966,1,740,2011,1,Semi-detached,111200,142 Lecture Hall Lane
204,City Centre,1925,6,2128,2018,6,Bungalow,409200,120 King Street
205,City Centre,1973,1,710,2018,1,Terraced,121500,21 Merchant Street
206,City Centre,1987,2,1060,2016,2,Bungalow,189000,60 Merchant Street
207,New Development,1961,4,1874,2014,4,Detached,303620,68 Oak Lane
208,City Centre,1992,4,1471,2013,4,Semi-detached,280650,179 Clock Tower Road
209,Old Town,2008,6,2309,2013,6,Detached,320900,17 Heritage Close
210,University,1906,2,1202,2010,2,Flat,198280,52 Study Mews
211,New Development,1943,3,1274,2013,3,Detached,210620,134 Maple Drive
212,Old Town,1986,1,710,2016,1,Terraced,86000,182 Butcher’s Row
213,City Centre,2009,5,2404,2014,4,Terraced,430600,40 Castle Lane
214,University,1926,1,732,2018,1,Terraced,117480,116 Alumni Grove
215,City Centre,1941,1,626,2013,1,Terraced,108900,147 Market Lane
216,Old Town,1972,3,1181,2020,3,Bungalow,163100,129 Castle View
217,City Centre,2007,1,734,2012,1,Detached,125100,77 Union Street
218,New Development,1955,2,1042,2015,2,Terraced,165460,157 Ivy Boulevard
219,Old Town,1902,2,1016,2013,2,Flat,131600,152 Old Forge Lane
220,New Development,1912,4,2032,2020,4,Bungalow,324160,47 Magnolia Row
221,University,1969,6,2015,2022,5,Bungalow,367100,65 Varsity Place
222,New Development,1958,5,1881,2011,4,Semi-detached,314530,185 Poppy Crescent
223,New Development,1937,1,602,2014,1,Bungalow,93260,106 Cedar Crescent
225,City Centre,1982,3,1180,2013,3,Detached,222000,9 King Street
226,Old Town,1988,6,2517,2014,6,Detached,341700,13 Church Road
227,University,2002,2,1095,2021,2,Bungalow,183300,21 Scholar’s Walk
228,Old Town,1967,5,2487,2018,5,Detached,323700,165 Butcher’s Row
229,University,1985,4,1730,2013,4,Flat,302200,162 Seminar Terrace
230,University,1968,2,964,2015,2,Terraced,164960,53 College Road
231,New Development,1900,6,2336,2013,6,Bungalow,393680,104 Horizon Close
232,City Centre,1949,4,1448,2010,4,Flat,277200,187 Merchant Street
233,University,1980,3,1348,2011,3,Flat,233720,132 Scholar’s Walk
234,University,1972,3,1270,2015,3,Flat,235500,63 Varsity Place
235,University,1908,1,696,2017,1,Flat,112440,59 Campus Avenue
236,University,1952,6,1930,2018,5,Terraced,374500,151 Library Lane
237,University,1987,5,1975,2013,5,Detached,272500,163 Dean’s View
238,City Centre,1909,4,1765,2015,4,Detached,324750,54 Cathedral Row
239,New Development,1983,2,835,2012,2,Detached,138550,194 Horizon Close
240,University,1980,6,1993,2021,6,Terraced,369020,86 Faculty Court
241,New Development,1976,6,2250,2018,6,Flat,382500,24 Rosehip Road
242,University,1928,3,948,2017,2,Semi-detached,172720,30 Varsity Place
243,New Development,1935,1,787,2021,1,Detached,117310,195 Rosehip Road
244,University,1986,1,664,2010,1,Bungalow,107960,98 Varsity Place
245,University,1926,4,1412,2022,4,Terraced,271800,34 Chancellor Road
246,University,1917,3,1269,2011,3,Flat,222660,123 Scholar’s Walk
247,University,1917,6,2241,2019,6,Detached,381330,7 Dean’s View
248,New Development,2017,5,1711,2018,5,Bungalow,297430,79 Juniper Walk
249,University,1908,3,1447,2019,3,Semi-detached,247580,88 Research Boulevard
250,University,1966,4,1680,2012,4,Flat,295200,138 Academic Crescent
251,Old Town,1906,4,1433,2012,4,Terraced,203300,62 Castle View
252,Old Town,1957,3,1222,2019,3,Semi-detached,167200,54 Manor Row
253,City Centre,1978,4,1297,2018,3,Bungalow,249550,94 Station Road
254,City Centre,1929,3,1112,2012,3,Detached,211800,120 High Street
255,City Centre,1972,2,1039,2019,2,Flat,185850,179 Albert Walk
256,City Centre,2022,3,1176,2022,3,Terraced,221400,32 Castle Lane
257,City Centre,1960,3,1571,2020,3,Bungalow,280650,38 College Crescent
258,University,2004,4,1614,2014,3,Bungalow,280960,103 Seminar Terrace
259,Old Town,1990,4,1329,2015,4,Terraced,192900,54 The Old Yard
260,University,1999,1,643,2012,1,Flat,105020,75 Professor’s Close
261,Old Town,1981,1,753,2019,1,Bungalow,90300,132 Town Gate
262,Old Town,1994,2,992,2017,2,Flat,129200,41 Cobbler’s Alley
263,New Development,1916,1,750,2011,1,Flat,112500,113 Willow Heights
264,New Development,2017,3,1245,2017,2,Bungalow,201850,135 Ivy Boulevard
265,Old Town,1952,4,1488,2011,4,Bungalow,208800,23 Bell Tower Street
266,University,1905,1,756,2018,1,Terraced,120840,132 Exam Square
267,Old Town,1938,1,657,2015,1,Semi-detached,80700,60 The Old Yard
268,University,1924,2,1049,2018,2,Bungalow,187350,182 Campus Avenue
269,University,1941,6,2136,2013,6,Flat,389040,56 Seminar Terrace
270,University,1941,2,1088,2021,1,Flat,177320,128 Faculty Court
271,Old Town,1958,3,1573,2012,3,Detached,202300,124 Market Cross Road
272,City Centre,2001,4,1522,2011,4,Semi-detached,288300,147 Exchange Place
273,University,1937,2,945,2017,2,Terraced,124500,186 Scholar’s Walk
274,City Centre,1930,1,733,2013,1,Flat,124950,157 Merchant Street
275,University,2014,4,1384,2014,4,Flat,253760,166 Lecture Hall Lane
276,Old Town,1928,4,1923,2020,4,Detached,252300,62 Abbey Lane
277,City Centre,2003,1,772,2018,1,Terraced,130800,86 Merchant Street
278,New Development,1908,2,900,2021,2,Bungalow,147000,87 Aspen Gardens
279,University,1900,1,621,2017,1,Flat,101940,54 Varsity Place
280,University,1979,6,1852,2014,6,Bungalow,349280,147 Library Lane
281,University,2001,4,1371,2017,4,Semi-detached,238230,23 Library Lane
282,City Centre,1986,5,2100,2014,5,Flat,390000,61 Union Street
283,University,2022,5,2287,2022,4,Flat,390180,176 College Road
284,University,1971,3,1419,2016,3,Bungalow,257850,71 Study Mews
285,New Development,1946,1,688,2014,1,Flat,104440,175 Lavender Park
286,Old Town,1975,1,717,2022,1,Semi-detached,86700,17 The Green
287,University,1909,3,1170,2014,3,Bungalow,208800,10 Chancellor Road
288,University,1915,3,1465,2022,3,Flat,250100,166 Library Lane
289,University,1946,3,1365,2013,3,Detached,249750,41 Scholar’s Walk
290,University,1942,4,1755,2022,3,Detached,300700,199 Lab Street
291,Old Town,1923,6,1982,2014,6,Semi-detached,288200,190 Town Gate
292,University,2002,1,692,2016,1,Flat,104960,121 Scholar’s Walk
293,University,1907,4,1745,2012,4,Bungalow,304300,111 College Road
294,New Development,1974,3,1517,2013,2,Terraced,237210,22 Dahlia Court
295,City Centre,2004,1,670,2017,1,Detached,115500,144 George Square
296,Old Town,1925,4,1756,2015,4,Semi-detached,235600,174 Abbey Lane
297,University,1906,6,1986,2017,6,Bungalow,368040,17 Lecture Hall Lane
298,New Development,1978,4,2023,2020,4,Bungalow,322990,17 Chestnut Mews
299,Old Town,1914,6,2076,2011,6,Bungalow,297600,115 Church Road
300,University,1947,3,1397,2022,3,Flat,226610,94 Chancellor Road
301,City Centre,1902,6,2250,2018,5,Semi-detached,422500,134 Bridge Street
302,Old Town,1915,1,830,2016,1,Terraced,98000,17 Friar’s Court
303,Old Town,1978,3,1334,2022,3,Terraced,178400,106 Heritage Close
304,City Centre,1988,1,674,2014,1,Detached,116100,191 Merchant Street
305,University,1996,5,2060,2020,5,Bungalow,384000,161 Research Boulevard
306,University,1913,2,1062,2016,2,Flat,178680,63 Campus Avenue
307,University,1987,6,2153,2011,6,Terraced,412950,89 Chancellor Road
308,City Centre,2017,2,891,2020,2,Bungalow,163650,133 Union Street
309,New Development,1974,2,947,2013,2,Detached,153110,144 Willow Heights
310,Old Town,1902,6,2464,2016,6,Semi-detached,336400,196 Butcher’s Row
311,New Development,1972,3,1038,2011,3,Detached,179940,126 Willow Heights
312,City Centre,1969,5,1838,2017,5,Bungalow,350700,18 Grand Arcade
313,University,1930,1,750,2019,1,Semi-detached,120000,27 Graduation Way
314,New Development,2018,4,1581,2019,4,Bungalow,265530,100 Birch Grove
315,New Development,1979,1,809,2020,1,Bungalow,120170,58 Chestnut Mews
316,Old Town,1974,4,1251,2014,4,Flat,185100,9 Cross Keys Way
317,Old Town,2013,1,652,2022,1,Flat,80200,18 Heritage Close
318,University,1916,6,1506,2014,6,Flat,240600,65 Dean’s View
319,University,1948,5,2398,2017,5,Terraced,410720,32 Scholar’s Walk
320,University,1902,4,1411,2022,4,Bungalow,257540,48 Research Boulevard
321,City Centre,2022,3,1002,2022,3,Detached,195300,123 Clock Tower Road
322,City Centre,1982,1,669,2021,1,Detached,115350,53 Bridge Street
323,Old Town,1987,1,630,2010,1,Terraced,78000,1 Bell Tower Street
324,New Development,1954,4,1479,2015,4,Terraced,252270,1 Chestnut Mews
325,Old Town,2010,3,1306,2011,2,Detached,170600,138 Church Road
326,City Centre,2005,3,1421,2010,3,Semi-detached,258150,109 Bridge Street
327,University,1971,6,2148,2021,6,Detached,369240,9 Graduation Way
328,City Centre,2012,6,2208,2022,6,Flat,421200,15 King Street
329,University,1999,6,2026,2016,6,Bungalow,373640,136 Graduation Way
330,Old Town,1939,6,1746,2021,6,Flat,264600,90 The Old Yard
331,Old Town,2021,6,1646,2021,6,Flat,254600,10 Manor Row
332,New Development,1965,6,2091,2010,6,Bungalow,361830,26 Silverleaf Way
333,Old Town,1986,5,1921,2019,5,Detached,267100,169 Castle View
334,City Centre,1939,3,1234,2020,3,Flat,230100,89 Union Street
335,University,1929,6,1657,2020,6,Semi-detached,338550,133 Research Boulevard
336,University,1924,3,1330,2015,3,Terraced,231200,107 Library Lane
337,City Centre,1906,3,1544,2019,3,Flat,276600,2 Albert Walk
338,New Development,1991,2,989,2022,1,Bungalow,153570,30 Oak Lane
339,City Centre,2004,5,1755,2021,4,Semi-detached,333250,44 Victoria Parade
340,University,1949,6,2182,2022,6,Bungalow,395480,100 Academic Crescent
341,University,2022,1,645,2022,1,Flat,105300,30 College Road
342,Old Town,1980,4,1366,2021,4,Detached,196600,64 Bell Tower Street
343,New Development,1995,1,723,2012,1,Terraced,108990,58 Cedar Crescent
344,University,1900,5,2148,2015,5,Flat,397200,193 Graduation Way
345,University,1990,4,1571,2019,4,Bungalow,279940,31 Academic Crescent
346,City Centre,1943,5,1407,2018,5,Flat,286050,104 Albert Walk
347,University,1999,3,1353,2015,2,Flat,229420,139 Campus Avenue
348,Old Town,1948,4,2013,2010,3,Terraced,256300,52 Heritage Close
349,University,1906,3,1263,2019,3,Bungalow,221820,38 Freshers Row
350,Old Town,2019,1,691,2019,1,Semi-detached,84100,57 Bell Tower Street
351,New Development,1902,1,656,2017,1,Semi-detached,100280,120 Sycamore Way
352,City Centre,1993,4,1696,2016,4,Semi-detached,314400,86 King Street
353,City Centre,1900,4,1466,2017,3,Flat,274900,4 Victoria Parade
354,University,1950,6,2506,2020,6,Flat,340600,110 Faculty Court
355,New Development,1997,5,1736,2021,5,Detached,300680,145 Primrose Avenue
356,Old Town,1937,6,2303,2017,6,Terraced,320300,150 Manor Row
357,University,1942,5,1888,2018,5,Flat,339320,146 Union Street
358,Old Town,1954,6,2667,2012,6,Terraced,356700,90 Abbey Lane
359,New Development,1956,3,1361,2016,2,Terraced,216930,85 Sycamore Way
360,University,1952,4,1877,2015,4,Terraced,322780,120 Exam Square
361,City Centre,1999,1,705,2011,1,Bungalow,120750,71 College Crescent
362,University,1932,5,1857,2014,5,Bungalow,353550,31 Scholar’s Walk
363,City Centre,2006,5,1890,2012,4,Detached,353500,125 Clock Tower Road
364,New Development,1979,1,661,2020,1,Bungalow,100930,130 Primrose Avenue
365,New Development,1961,6,2360,2014,6,Detached,396800,184 Silverleaf Way
366,New Development,2001,5,1727,2020,5,Detached,299510,116 Poppy Crescent
367,New Development,1910,3,1317,2018,3,Bungalow,216210,66 Blossom Rise
368,New Development,1971,4,1771,2017,4,Terraced,290230,187 Poppy Crescent
369,University,1951,1,779,2018,1,Terraced,124060,76 Professor’s Close
370,Old Town,1900,4,1633,2018,4,Bungalow,223300,22 Market Cross Road
371,City Centre,1913,5,2115,2020,5,Flat,392250,21 Crown Street
372,New Development,1993,5,2085,2017,4,Flat,341050,92 Dahlia Court
373,City Centre,1984,1,681,2017,1,Detached,117150,165 High Street
374,New Development,2021,3,1616,2021,3,Flat,255080,156 Poppy Crescent
375,University,1920,2,942,2020,2,Flat,171300,128 Scholar’s Walk
376,Old Town,1933,1,705,2015,1,Terraced,85500,73 The Green
377,City Centre,2001,2,1145,2015,2,Semi-detached,201750,119 Station Road
378,City Centre,1989,6,2629,2015,6,Detached,484350,51 Exchange Place
379,New Development,2004,2,1001,2019,2,Semi-detached,160130,68 Birch Grove
380,University,1913,3,1449,2015,3,Flat,247860,111 Library Lane
381,University,2017,6,2133,2022,6,Flat,388620,13 Scholar’s Walk
382,City Centre,1939,2,951,2020,1,Flat,167650,160 Prince’s Gate
383,University,2021,6,1836,2022,6,Flat,347040,69 Study Mews
384,Old Town,1934,2,1072,2021,2,Flat,137200,60 School House Lane
385,Old Town,1941,3,1424,2018,3,Flat,187400,146 Market Cross Road
386,University,1981,2,943,2019,1,Flat,157020,18 Professor’s Close
387,University,1919,2,1027,2022,2,Terraced,173780,28 Professor’s Close
